"","PCONCODE","CON_2017","LAB_2017","LD_2017","UKP_2017","GREEN_2017","SNP_2017","WINNER_2017","SECOND_2017","MAJ_2017"
"594","E14001028",13744,28547,1656,0,0,0,"Lab","Con",14803
"595","S14000058",24704,5706,4461,0,0,16754,"Con","SNP",7950
"596","E14001029",14951,22664,625,0,533,0,"Lab","Con",7713
"597","E14001030",14329,18789,333,2320,323,0,"Lab","Con",4460
"598","E14001031",33081,10896,13990,0,1631,0,"Con","LD",19091
"599","S14000059",7582,16602,1009,0,0,18890,"SNP","Lab",2288
"600","E14001032",9837,46591,1836,1134,957,0,"Lab","Con",36754
"601","E14001033",20341,32030,1069,0,680,0,"Lab","Con",11689
"602","E14001036",14422,25934,2253,0,595,0,"Lab","Con",11512
"603","E14001037",22909,4783,23686,0,0,0,"LD","Con",777
"604","E14001038",29982,18438,5175,1932,888,0,"Con","Lab",11544
"605","E14001034",31649,14586,2180,2396,935,0,"Con","Lab",17063
"606","E14001035",34703,13375,5307,1481,1605,0,"Con","Lab",21328
"607","E14001039",13548,29575,916,2750,753,0,"Lab","Con",16027
"608","E14001040",23946,18324,7472,553,1231,0,"Con","Lab",5622
"609","E14001041",29729,6007,19730,695,846,0,"Con","LD",9999
"610","E14001042",34718,12334,5434,0,1435,0,"Con","Lab",22384
"611","E14001043",17548,25871,1322,0,454,0,"Lab","Con",8323
"612","E14001044",18501,23866,1155,0,429,0,"Lab","Con",5365
"613","E14001045",31670,13024,2715,0,1832,0,"Con","Lab",18646
"614","E14001046",33839,12598,12457,980,1053,0,"Con","Lab",21241
"615","E14001047",29903,13179,9711,1161,1092,0,"Con","Lab",16724
"616","E14001048",33806,15008,9512,0,1364,0,"Con","Lab",18798
"617","E14001049",14695,19282,570,1479,482,0,"Lab","Con",4587
"618","E14001050",12623,21137,448,1675,421,0,"Lab","Con",8514
"619","E14001051",18714,20899,784,1012,579,0,"Lab","Con",2185
"620","E14001052",24731,22223,1757,1354,1211,0,"Con","Lab",2508
"621","E14001053",17392,21317,1133,1556,0,0,"Lab","Con",3925
"622","E14001054",17667,26046,1087,0,842,0,"Lab","Con",8379
"623","E14001055",30181,18091,2982,1635,1614,0,"Con","Lab",12090
"624","W07000044",15321,17153,865,0,0,0,"Lab","Con",1832
"625","E14001056",26766,20188,4147,1210,1182,0,"Con","Lab",6578
"626","E14001057",30684,18438,2551,0,973,0,"Con","Lab",12246
"627","E14001058",29859,16525,1943,1777,1025,0,"Con","Lab",13334
"628","E14001059",13581,28525,1504,1475,576,0,"Lab","Con",14944
"629","E14001060",32369,7418,17646,0,1052,0,"Con","LD",14723
"630","W07000041",10384,15643,479,624,0,0,"Lab","Con",5259
"631","E14001061",16019,34594,2475,0,0,0,"Lab","Con",18575
"632","E14001062",29356,21067,5910,0,1094,0,"Con","Lab",8289
